menu_id,restaurant_id,item_name,category,price,is_veg,is_bestseller
1,1,French Fries (Classic Edition),Burger,339.0,0,0
2,1,Onion Rings,Burger,661.0,0,0
3,1,French Fries,Burger,370.0,0,0
4,1,Burger,Burger,541.0,1,0
5,1,French Fries (Chef Edition),Burger,767.0,0,1
6,1,Onion Rings (Premium Edition),Burger,714.0,1,0
7,2,Steak (Classic Edition),Continental,137.0,1,0
8,2,Grilled Chicken,Continental,104.0,0,0
9,2,Soup,Continental,144.0,1,1
10,2,Club Sandwich (Premium Edition),Continental,114.0,1,0
11,2,Soup,Continental,169.0,1,0
12,2,Fish & Chips (Classic Edition),Continental,102.0,1,0
13,2,Club Sandwich,Continental,312.0,0,0
14,2,Steak,Continental,247.0,1,1
15,2,Caesar Salad,Continental,151.0,1,0
16,2,Caesar Salad,Continental,206.0,1,0
17,2,Steak (Chef Edition),Continental,269.0,1,0
18,3,Idli,South Indian,284.0,0,1
19,3,Uttapam (Special Edition),South Indian,198.0,0,0
20,3,Vada (Special Edition),South Indian,177.0,0,0
21,3,Sambhar,South Indian,151.0,0,1
22,3,Upma,South Indian,323.0,0,0
23,3,Idli,South Indian,178.0,0,0
24,3,Appam,South Indian,297.0,0,0
25,3,Sambhar,South Indian,246.0,1,0
26,3,Idli,South Indian,138.0,1,0
27,3,Vada,South Indian,99.0,0,0
28,3,Rava Dosa (Chef Edition),South Indian,256.0,1,1
29,4,Nuggets (Premium Edition),Punjabi,204.0,0,0
30,4,Nuggets (Chef Edition),Punjabi,145.0,1,0
31,4,French Fries (Special Edition),Punjabi,166.0,0,1
32,4,Onion Rings,Punjabi,182.0,0,0
33,4,French Fries,Punjabi,96.0,1,0
34,4,Nuggets,Punjabi,256.0,1,0
35,5,Nuggets,Fast Food,276.0,0,0
36,5,French Fries,Fast Food,145.0,1,1
37,5,Onion Rings,Fast Food,140.0,0,0
38,5,Wrap (Premium Edition),Fast Food,285.0,1,0
39,5,Hot Dog (Special Edition),Fast Food,143.0,1,0
40,5,Hot Dog (Special Edition),Fast Food,260.0,1,0
41,5,Hot Dog,Fast Food,268.0,0,0
42,5,Burger,Fast Food,211.0,0,0
43,5,Nuggets,Fast Food,166.0,0,0
44,6,Burger,Fast Food,932.0,1,1
45,6,Onion Rings (Chef Edition),Fast Food,451.0,0,0
46,6,French Fries,Fast Food,366.0,1,1
47,6,French Fries,Fast Food,368.0,0,0
48,6,Nuggets,Fast Food,341.0,0,1
49,6,Onion Rings,Fast Food,443.0,0,0
50,6,French Fries,Fast Food,417.0,0,1
51,6,Burger,Fast Food,469.0,1,0
52,6,Wrap,Fast Food,803.0,0,0
53,6,Wrap,Fast Food,443.0,1,0
54,6,Nuggets,Fast Food,538.0,1,0
55,6,Burger,Fast Food,641.0,1,0
56,7,Tiramisu,Italian,316.0,1,0
57,7,Bruschetta (Premium Edition),Italian,128.0,1,0
58,7,Margherita Pizza,Italian,140.0,0,0
59,7,Margherita Pizza (Special Edition),Italian,292.0,1,0
60,7,Pasta Arrabiata (Special Edition),Italian,185.0,1,0
61,8,Onion Rings,Punjabi,535.0,0,0
62,8,Hot Dog,Punjabi,559.0,1,0
63,8,Hot Dog (Special Edition),Punjabi,446.0,1,0
64,8,Onion Rings (Chef Edition),Punjabi,230.0,0,0
65,8,Hot Dog,Punjabi,541.0,1,0
66,8,Burger (Premium Edition),Punjabi,546.0,0,0
67,8,French Fries,Punjabi,295.0,1,0
